"Station ID","Site Name","Latitude","Longitude","Channel","RKM","Station Group","Primary Group?"
"LPSJR732","San Juan below Copper Canyon",,,"SJR",73.20,"LPSJRINF",0
"LPSJR735","San Juan below Copper Canyon",37.22,-110.53,"SJR",73.50,"LPSJRINF",0
"LPSJR740","San Juan below Copper Canyon",37.22,-110.53,"SJR",74.00,"LPSJRINF",0
"LPSJR790","San Juan-Upper Monitor Bay",,,"SJR",79.00,"LPSJRINF",0
"LPSJR794","San Juan-Upper Monitor Bay",,,"SJR",79.40,"LPSJRINF",0
"LPSJR796","San Juan below Mikes Canyon",,,"SJR",79.60,"LPSJRINF",0
"LPSJR803","San Juan River at Mikes Canyon",,,"SJR",80.30,"LPSJRINF",0
"LPSJR804","San Juan at Mikes Canyon",,,"SJR",80.40,"LPSJRINF",0
"LPSJR813","San Juan above Mikes Canyon",,,"SJR",81.30,"LPSJRINF",0
"LPSJR830","San Juan at Lower Piute Farms",,,"SJR",83.00,"LPSJRINF",0
"LPSJR831","San Juan at Lower Piute Farms",,,"SJR",83.10,"LPSJRINF",0
"LPSJR833","San Juan at Lower Piute Farms",,,"SJR",83.30,"LPSJRINF",0
"LPSJR850","San Juan at Lower Piute Farms",,,"SJR",85.00,"LPSJRINF",0
"LPSJR855","San Juan at Lower Piute Farms",,,"SJR",85.50,"LPSJRINF",0
"LPSJR857","San Juan at Lower Piute Farms",,,"SJR",85.70,"LPSJRINF",0
"LPSJR870","San Juan River at Piute Farms",37.26,-110.42,"SJR",87.00,"LPSJRINF",0
"LPSJRBLF","San Juan R. near Bluff",,,"SJR",999.00,"LPSJRINF",0
"LPSJRINF","San Juan River Inflow Stations",,,"SJR",999.00,"LPSJRINF",1
"LPWAH043","Lower Wahweap Bay",36.97,-111.48,"WAH",4.30,"LPWAH043",0
"LPWAH100","Upper Wahweap Bay",37.01,-111.49,"WAH",10.00,"LPWAH100",0
"LPWAR130","Middle Warm Creek Bay",37.06,-111.44,"WAR",13.00,"LPWAR130",0
"SCAZT001","Aztec Creek #1",,,"AZT",0.10,,0
"SCAZT002","Aztec Creek #2",,,"AZT",0.20,,0
"SCAZT003","Aztec Creek #3",,,"AZT",0.30,,0
"SCBRI030","Bridge Creek at Aztec Creek",37.08,-110.96,"BRI",3.00,"LPCRI064",0
"SCBRI040","Bridge Creek at Lower Monument Boundary",37.08,-110.96,"BRI",4.00,"LPBRI064",0
"SCCAT025","Cathedral Canyon - 2.5 mi abv confluence",,,"CAT",2.50,"SCCAT0275",0
"SCCR_GW","Narrow Canyon Warm Springs (RM 174.5)",,,"CR",0.00,,0
"SCCR0550","Music Temple Canyon",,,"CR",55.00,,0
"SCCR0570","San Juan Confluence",,,"CR",1001.00,"LPCR1001",0
"SCCR0630","Llewellyn Gulch",,,"CR",107.40,"LPCR1074",0
"SCCR0790","Iceberg Canyon",,,"CR",140.00,"LPCR1395",0
"SCCR0880","Lake Canyon",,,"CR",158.90,"LPCR1587",0
"SCCR0990","Moki Canyon",,,"CR",177.20,"LPCR1772",0
"SCCR1090","Knowles Canyon",,,"CR",193.30,"LPCR1933",0
"SCCR1180","LOWER GOOD HOPE BAY",,,"CR",208.50,"LPCR2085",0
"SCCR1280","SCORUP CANYON",,,"CR",225.50,"LPCR2255",0
"SCCR1370","PALISADES",,,"CR",244.00,"LPCR2440",0
"SCCR1390","Hite Marina",,,"CR",248.70,"LPCR2483",0
"SCCR1410","Dirty Devil Confluence",,,"CR",249.00,"LPCR_INF",0
"SCCR1415","COLO. R. BEL HITE BRIDGE",,,"CR",251.40,"LPCR_INF",0
"SCCR1420","COLO. R. AT HITE BRIDGE",,,"CR",252.00,"LPCR_INF",0
"SCCR1440","ROCK CANYON",,,"CR",255.00,"LPCR_INF",0
"SCCR1460","COLO. R. AT UPPER NARROW CANYON",,,"CR",258.70,"LPCR_INF",0
"SCCR1480","COLO. R. AT SHEEP CYN",,,"CR",261.80,"LPCR_INF",0
"SCCR1500","COLO. R. ABV MILLE CRAG BEND",,,"CR",266.00,"LPCR_INF",0
"SCCR1540","COLO. R. AT DARK CANYON",,,"CR",271.60,"LPCR_INF",0
"SCCR1570","COLO. R. AT COVE CANYON",,,"CR",276.90,"LPCR_INF",0
"SCCR1620","Colo. R. at Clearwater Canyon",,,"CR",285.90,"LPCR_INF",0
"SCCR1690","Colo. R. at Hite Boat Ramp (Belnap RM 169)",,,"CR",0.00,"LPCR_INF",0
"SCCR1695","Colo. R. below Dirty Devil Conf. (Belnap RM 169.5)",,,"CR",0.00,"LPCR_INF",0
"SCCR1700","Colo. R. below Imperial Canyon",,,"CR",299.00,"LPCR_INF",0
"SCCR1703","Colo. R. upst of Rangeline R300 (Belnap RM 170.3)",,,"CR",0.00,"LPCR_INF",0
"SCCR1705","Colo. R. at Dirty Devil Conf. (Belnap RM 170.5)",,,"CR",0.00,"LPCR_INF",0
"SCCR1730","Colo. R. above Rock Canyon (Belnap RM 173)",,,"CR",0.00,"LPCR_INF",0
"SCCR1750","Colo. R. below Mille Crag Bend (Belnap RM 175)",,,"CR",0.00,"LPCR_INF",0
"SCCR1790","Colo. R. below Freddies Cistern (Belnap RM 179)",,,"CR",0.00,"LPCR_INF",0
"SCCR1830","Colo. R. above Dark Canyon (Belnap RM 183)",,,"CR",0.00,"LPCR_INF",0
"SCCR1860","Colo. R. below Cove Canyon (Belnap RM 186)",,,"CR",0.00,"LPCR_INF",0
"SCCR1920","Colo. R. above Clearwater Canyon (Belnap RM 192)",,,"CR",0.00,"LPCR_INF",0
"SCCR2000","Colo. R. below Imperial Canyon (Belnap RM 200)",,,"CR",0.00,"LPCR_INF",0
"SCCR2150","Colorado River below Green R. Confluence",38.16,-109.91,"CR",0.00,"LPCR_INF",0
"SCDAR_A","Dark Canyon - lower",,,"DAR",0.00,,0
"SCDAR_B","Dark Canyon - mid",,,"DAR",0.00,,0
"SCDAR_C","Dark Canyon - upper",,,"Dar",0.00,,0
"SCDG0001","Dangling Rope Marina",,,"DGR",0.00,,0
"SCDVG014","MID DAVIS GULCH",,,"DVG",1.40,,0
"SCESC055","MOUTH OF DAVIS GULCH",,,"ESC",11.90,"LPESC119",0
"SCESC095","ESC. R. @ WILLOW CK.",,,"ESC",20.00,"LPESC200",0
"SCESC120","BELOW GARCES ISLAND",,,"ESC",25.50,"LPESC273",0
"SCESC122","ESC. R. @ GARCES ISLAND",,,"ESC",25.90,"LPESC273",0
"SCESC130","ESC. R. 1 MILE ABOVE GARC",,,"ESC",27.60,"LPESCINF",0
"SCESC136","ESC. Site #4",,,"ESC",18.90,"LPESCINF",0
"SCESC140","ESC. Site #3",,,"ESC",29.80,"LPESCINF",0
"SCESC146","ESC. Site #2",,,"ESC",31.00,"LPESCINF",0
"SCESC150","Escalante River at Cow-Fence Canyon",,,"ESC",31.90,"LPESCINF",0
"SCESC151","Escalante at Garces Island",,,"ESC",32.10,"LPESC273",0
"SCESC168","Escalante River above Garces Island",,,"ESC",35.70,"LPESC273",0
"SCESC170","Escalante River at Beaches",,,"ESC",31.00,"LPESCINF",0
"SCESC180","Escalante Inflow",,,"ESC",36.00,"LPESCINF",0
"SCESC182","ESCALANTE NEAR INFLOW",,,"ESC",30.20,"LPESCINF",0
"SCESC195","Escalante River at Cow-Fence Canyon",,,"ESC",31.90,"LPESCINF",0
"SCESC200","Escalante Inflow-RM 19.9 on Braun Map",,,"ESC",32.00,"LPESCINF",0
"SCESC208","BELOW COW CYN. OF ESC. ARM",,,"ESC",34.50,"LPESCINF",0
"SCESC210","Escalante at Unk Cyn #3",,,"ESC",34.70,"LPESC347",0
"SCESC212","COW CYN. OF ESC. ARM",,,"ESC",34.70,"LPESCINF",0
"SCESCGW1","GW RET#1 ESC",,,"ESC",0.00,,0
"SCFAC015","Face Canyon",,,"FAC",1.50,"LPFAC039",0
"SCGC0000","Colorado R. at Lees Ferry",,,"CR",-24.90,"LPCR-249",0
"SCGC-145","Colorado R. below Glen Canyon Dam",,,"CR",0.00,"LPCR0000",0
"SCGUN026","Gunsight Canyon - 2.6 mi abv confluence",,,"GUN",2.60,,0
"SCLAB001","Labyrinth Canyon",36.99,-111.29,"LAB",0.10,"LPLAB000",0
"SCLAS055","Last Chance Canyon - 5.5 mi abv confluence",,,"LAS",5.50,,0
"SCLAS060","Last Chance Canyon - 6 mi abv confluence",,,"LAS",6.00,,0
"SCNAV_N1","Navajo Canyon Zooplantkon Station N1",,,,0.00,,0
"SCNAV_N2","Navajo Canyon Zooplantkon Station N2",,,,0.00,,0
"SCNAV_N3","Navajo Canyon Zooplantkon Station N3",,,,0.00,,0
"SCNAV_N4","Navajo Canyon Zooplantkon Station N4",,,,0.00,,0
"SCNAV_N5","Navajo Canyon Zooplantkon Station N5",,,,0.00,,0
"SCNAV_N6","Navajo Canyon Zooplantkon Station N6",,,,0.00,,0
"SCNAV_N7","Navajo Canyon Zooplantkon Station N7",,,,0.00,,0
"SCNAV000","NAVAJO CANYON AT MOUTH",,,"NAV",0.00,,0
"SCNAV015","LOWER NAVAJO CANYON",,,"NAV",1.50,,0
"SCNAV075","MID NAVAJO CANYON",,,"NAV",12.40,"LPNVC124",0
"SCNAVGW1","Navajo Canyon Return Flow",,,"NAV",0.00,,0
"SCNAVGW2","Navajo Canyon Return Flow",,,"NAV",0.00,,0
"SCPA0000","Paria River at Mouth",,,"PA0",0.00,,0
"SCPW1740","Mud Flat Pore Water at RM 174.0",,,"PW1",74.00,,0
"SCROC035","Rock Creek Canyon - 3.5 mi abv confluence",,,"ROC",3.50,,0
"SCSJR161","San Juan above Deep Canyon",,,"SJR",29.70,,0
"SCSJR180","LOWER PIUTE BAY",,,"SJR",32.90,"LPSJR329",0
"SCSJR250","UPPER PIUTE BAY",,,"SJR",43.10,"LPSJR431",0
"SCSJR300","San Juan River at Great Bend",,,"SJR",0.00,"LPSJR530",0
"SCSJR305","ALCOVE CANYON",,,"SJR",49.20,"LPSJR530",0
"SCSJR350","Lower Zahn Bay",,,"SJR",62.50,"LPSJR625",0
"SCSJR400","MIDDLE ZAHN BAY",,,"SJR",68.60,"LPSJRINF",0
"SCSJR415","SAN JUAN BEL NOKAI CANYON",,,"SJR",70.00,"LPSJRINF",0
"SCSJR420","NOKAI CANYON",,,"SJR",70.30,"LPSJRINF",0
"SCSJR440","SAN JUAN BELOW COPPER CANYON",,,"SJR",73.00,"LPSJRINF",0
"SCSJR485","SAN JUAN R. BEL MIKES CYN",,,,0.00,"LPSJRINF",0
"SCSJR495","SAN JUAN R. AB MIKES CYN",,,"SJR",81.30,"LPSJRINF",0
"SCSJR520","San Juan River at Lower Piute Farms",,,"SJR",83.00,"LPSJRINF",0
"SCSJR524","San Juan River above Mikes Canyon",,,"SJR",81.30,"LPSJRINF",0
"SCSJR535","SAN JUAN R - PIUTE FARMS",,,"SJR",87.00,"LPSJRINF",0
"SCSJR550","SAN JUAN R - PIUTE FARMS",,,"SJR",87.00,"LPSJRINF",0
"SCUCLP01","GLEN CANYON DAM",,,"CR",0.50,"LPCR0024",0
"SCUCLP11","Colorado River below Glen Canyon Dam",,,"CR",0.00,"LPCR0024",0
"SCUCLP12","WAHWEAP BAY--",,,"CR",2.40,"LPCR0024",0
"SCUCLP13","CROSSING OF THE FATHERS",,,"CR",45.30,"LPCR0453",0
"SCUCLP14","OAK CANYON",,,"CR",90.50,"LPCR0905",0
"SCUCLP15","CHA CANYON (SAN JUAN R.)",,,"SJR",19.30,"LPSJR193",0
"SCUCLP16","ESCALANTE RIVER",,,"CR",116.90,"LPCR1169",0
"SCUCLP17","Bullfrog Bay",,,"CR",169.20,"LPCR1692",0
"SCUCLP18","HITE BASIN",,,"CR",238.70,"LPCR2387",0
"SCUCLP35","CATARACT BUOY @ SHEEP CYN",,,"CR",260.00,"LPCR_INF",0
"SCUCLP36","COLORADO RIVER AT CLEARWATER CANYON",,,"CR",285.90,"LPCR_INF",0
"SCUCLPAT","Glen Canyon Dam Access Tunnel",,,"CR",0.00,,0
"SCWAH055","Wahweap Bay - 5.5 mi abv confluence",,,"WAH",5.50,,0
"SCWAH060","Wahweap Bay - 6 mi abv confluence",,,"WAH",6.00,,0
"SCWAH090","Wahweap Bay at Lone Rock Beach",,,,0.00,,0
"SCWAR001","Warm Creek Bay",,,"WAR",13.00,"LPWAR130",0
"SCWAR040","Warm Creek Bay - 4 mi abv confluence",,,"WAR",4.00,,0
"SCWAR060","Warm Creek Bay - 6 mi abv confluence",,,"WAR",13.00,"LPWAR130",0
"SCWB0200","Wahweap Marina",,,"WAH",7.30,"LPWAH073",0
"SCWCB020","MID WARM CK BAY",,,"WCB",13.00,"LPWAR130",0
"SCWCBGW1","GW Ret#1 Wrm",,,"WCB",0.00,,0
"SCWES025","West Canyon",,,"WES",2.50,"LPWES025",0
