"Expr1000","Date","Station Group","Station ID","Site Name","Trip ID","Elevation","Bottom Sounding"
"LP651012",10/12/1965 14:00:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP651012",3529.96,
"LP651012",10/13/1965 8:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP651012",3529.96,
"LP651012",10/13/1965 10:30:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP651012",3529.96,
"LP651012",10/13/1965 13:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP651012",3529.96,
"LP651012",10/14/1965 9:15:00,"LPCR2387","SCUCLP18","HITE BASIN","LP651012",3529.96,
"LP651012",10/14/1965 16:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP651012",3529.96,
"LP651103",11/3/1965 14:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP651103",3530.96,
"LP651203",12/3/1965 9:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP651203",,
"LP660104",1/4/1966 11:55:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660104",3533.95,
"LP660104",1/5/1966 9:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP660104",3533.95,
"LP660104",1/5/1966 11:55:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP660104",3533.95,
"LP660104",1/6/1966 9:15:00,"LPCR2387","SCUCLP18","HITE BASIN","LP660104",3533.95,
"LP660104",1/6/1966 12:45:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP660104",3533.95,
"LP660104",1/7/1966 9:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP660104",3533.95,
"LP660104",1/7/1966 11:00:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP660104",3533.95,
"LP660209",2/9/1966 9:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660209",3533.95,
"LP660309",3/9/1966 9:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660309",,
"LP660406",4/6/1966 9:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660406",3536.96,
"LP660406",4/6/1966 15:15:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP660406",3537.92,
"LP660509",5/9/1966 11:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660509",3538.97,
"LP660509",5/10/1966 7:45:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP660509",3538.97,
"LP660509",5/10/1966 11:45:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP660509",3538.97,
"LP660509",5/11/1966 9:30:00,"LPCR2387","SCUCLP18","HITE BASIN","LP660509",3538.97,
"LP660509",5/12/1966 10:00:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP660509",3538.97,
"LP660509",5/12/1966 15:15:00,"LPCR0905","SCUCLP14","OAK CANYON","LP660509",3538.97,
"LP660509",5/13/1966 11:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP660509",3540.97,
"LP660602",6/2/1966 7:15:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP660602",3544.77,
"LP660602",6/2/1966 9:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660602",3543.95,
"LP660718",7/18/1966 15:45:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP660718",3540.97,
"LP660718",7/19/1966 7:45:00,"LPCR0905","SCUCLP14","OAK CANYON","LP660718",3540.97,
"LP660718",7/19/1966 12:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP660718",3540.97,
"LP660718",7/20/1966 8:30:00,"LPCR2387","SCUCLP18","HITE BASIN","LP660718",3540.97,
"LP660718",7/20/1966 14:45:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP660718",3540.97,
"LP660718",7/21/1966 7:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP660718",3540.97,
"LP660718",7/25/1966 11:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660718",,
"LP660718",7/25/1966 15:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP660718",3540.90,
"LP660809",8/9/1966 9:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660809",,
"LP660809",8/9/1966 14:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP660809",3538.55,
"LP660919",9/19/1966 9:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP660919",3529.94,
"LP660919",9/19/1966 15:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP660919",3531.86,
"LP661003",10/3/1966 11:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP661003",3527.94,
"LP661003",10/3/1966 15:05:00,"LPCR0905","SCUCLP14","OAK CANYON","LP661003",3527.94,
"LP661003",10/4/1966 8:15:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP661003",3527.94,
"LP661003",10/4/1966 15:00:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP661003",3527.94,
"LP661003",10/5/1966 7:50:00,"LPCR2387","SCUCLP18","HITE BASIN","LP661003",3527.94,
"LP661003",10/6/1966 11:00:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP661003",3527.94,
"LP661003",10/6/1966 14:00:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP661003",3527.94,
"LP661003",10/7/1966 13:15:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP661003",3528.37,
"LP661031",10/31/1966 10:45:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP661031",3527.12,
"LP661031",10/31/1966 14:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP661031",3525.96,
"LP661202",12/2/1966 11:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP661202",3523.45,
"LP661202",12/2/1966 14:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP661202",3523.45,
"LP670110",1/10/1967 14:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP670110",3517.97,
"LP670110",1/11/1967 13:45:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP670110",3517.97,51.20
"LP670110",1/11/1967 15:45:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP670110",3517.97,55.80
"LP670110",1/12/1967 9:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP670110",3517.97,51.20
"LP670110",1/12/1967 12:30:00,"LPCR2387","SCUCLP18","HITE BASIN","LP670110",3517.97,17.70
"LP670110",1/12/1967 13:45:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP670110",3517.97,96.90
"LP670110",1/12/1967 16:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP670110",3519.10,
"LP670110",1/13/1967 11:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP670110",3517.97,81.70
"LP670202",2/2/1967 13:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP670202",3515.97,
"LP670202",2/2/1967 15:15:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP670202",3517.21,
"LP670302",3/2/1967 11:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP670302",3513.97,
"LP670302",3/3/1967 15:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP670302",3514.94,
"LP670403",4/3/1967 11:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP670403",3510.95,
"LP670403",4/3/1967 15:45:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP670403",3512.01,
"LP670508",5/8/1967 11:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP670508",3504.94,
"LP670508",5/8/1967 14:00:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP670508",3504.94,
"LP670508",5/8/1967 17:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP670508",3504.94,
"LP670508",5/9/1967 7:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP670508",3504.94,
"LP670508",5/9/1967 10:00:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP670508",3504.94,
"LP670508",5/9/1967 13:00:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP670508",3504.94,
"LP670508",5/9/1967 16:15:00,"LPCR2387","SCUCLP18","HITE BASIN","LP670508",3504.94,
"LP670508",5/11/1967 9:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP670508",3504.70,
"LP670720",7/20/1967 8:30:00,"LPCR2387","SCUCLP18","HITE BASIN","LP670720",3530.96,
"LP670720",7/20/1967 11:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP670720",3530.96,
"LP670720",7/20/1967 15:30:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP670720",3530.96,
"LP670720",7/21/1967 8:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP670720",3530.96,
"LP670720",7/21/1967 9:50:00,"LPCR0905","SCUCLP14","OAK CANYON","LP670720",3530.96,
"LP670720",7/21/1967 14:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP670720",3530.96,
"LP670720",7/25/1967 14:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP670720",3530.96,
"LP670905",9/5/1967 11:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP670905",3528.96,
"LP670905",9/5/1967 14:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP670905",3529.97,
"LP671003",10/3/1967 11:20:00,"LPCR2387","SCUCLP18","HITE BASIN","LP671003",3525.94,
"LP671003",10/3/1967 14:05:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP671003",3525.94,
"LP671003",10/4/1967 8:45:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP671003",3525.94,
"LP671003",10/4/1967 10:25:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP671003",3525.94,
"LP671003",10/4/1967 12:25:00,"LPCR0905","SCUCLP14","OAK CANYON","LP671003",3525.94,
"LP671003",10/5/1967 8:25:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP671003",3525.94,
"LP671003",10/5/1967 10:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP671003",3525.94,
"LP671003",10/5/1967 14:45:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP671003",3528.37,
"LP671031",10/31/1967 12:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP671031",3525.94,
"LP671031",10/31/1967 14:45:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP671031",3528.23,
"LP671205",12/5/1967 9:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP671205",3528.18,
"LP671205",12/5/1967 12:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP671205",3525.94,
"LP680109",1/9/1968 13:45:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP680109",3525.94,
"LP680109",1/10/1968 11:15:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP680109",3525.94,
"LP680109",1/10/1968 14:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP680109",3525.94,
"LP680109",1/11/1968 13:00:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP680109",3525.94,
"LP680109",1/12/1968 11:00:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP680109",3525.94,
"LP680109",1/12/1968 14:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680109",3525.94,
"LP680109",1/15/1968 9:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680109",3526.34,
"LP680201",2/1/1968 10:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680201",3523.97,
"LP680201",2/1/1968 15:10:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680201",3525.06,
"LP680312",3/12/1968 10:20:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680312",3522.96,
"LP680312",3/12/1968 14:20:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680312",3524.48,
"LP680409",4/9/1968 10:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680409",3516.95,
"LP680409",4/9/1968 14:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680409",3517.94,
"LP680507",5/6/1968 12:20:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680507",3513.32,
"LP680507",5/7/1968 9:10:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680507",3511.97,
"LP680507",5/7/1968 14:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP680507",3511.97,
"LP680507",5/8/1968 9:30:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP680507",3511.97,
"LP680507",5/8/1968 14:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP680507",3511.97,
"LP680507",5/9/1968 8:40:00,"LPCR2387","SCUCLP18","HITE BASIN","LP680507",3511.97,
"LP680507",5/9/1968 16:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP680507",3511.97,
"LP680507",5/10/1968 8:50:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP680507",3511.97,
"LP680610",6/10/1968 9:40:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680610",3532.96,
"LP680610",6/10/1968 13:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680610",3534.57,
"LP680710",7/8/1968 7:35:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680710",3548.65,
"LP680710",7/10/1968 7:50:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP680710",3546.97,
"LP680710",7/10/1968 15:45:00,"LPCR2387","SCUCLP18","HITE BASIN","LP680710",3546.97,
"LP680710",7/11/1968 9:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP680710",3546.97,
"LP680710",7/11/1968 12:10:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP680710",3546.97,
"LP680710",7/11/1968 14:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP680710",3546.97,
"LP680710",7/12/1968 7:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP680710",3546.97,
"LP680710",7/12/1968 9:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680710",3546.97,
"LP680905",9/5/1968 13:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP680905",3546.97,
"LP680905",9/6/1968 10:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP680905",3547.90,
"LP681009",10/9/1968 10:15:00,"LPCR2387","SCUCLP18","HITE BASIN","LP681009",3543.95,
"LP681009",10/9/1968 13:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP681009",3543.95,
"LP681009",10/10/1968 9:35:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP681009",3543.95,
"LP681009",10/10/1968 11:50:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP681009",3543.95,
"LP681009",10/10/1968 14:15:00,"LPCR0905","SCUCLP14","OAK CANYON","LP681009",3543.95,
"LP681009",10/11/1968 8:00:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP681009",3543.95,
"LP681009",10/11/1968 10:40:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP681009",3543.95,
"LP681009",10/11/1968 13:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP681009",3545.24,
"LP681105",11/5/1968 9:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP681105",3541.95,
"LP681105",11/5/1968 14:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP681105",3543.19,
"LP681205",12/5/1968 9:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP681205",3539.95,
"LP681205",12/5/1968 14:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP681205",3541.22,
"LP690113",1/13/1969 9:20:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690113",3538.97,
"LP690113",1/14/1969 11:15:00,"LPCR2387","SCUCLP18","HITE BASIN","LP690113",3539.00,
"LP690113",1/14/1969 14:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP690113",3538.97,
"LP690113",1/15/1969 11:00:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP690113",3538.97,
"LP690113",1/15/1969 15:20:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP690113",3538.97,
"LP690113",1/16/1969 9:15:00,"LPCR0905","SCUCLP14","OAK CANYON","LP690113",3538.97,
"LP690113",1/16/1969 11:40:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP690113",3538.97,
"LP690113",1/16/1969 14:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690113",3539.67,
"LP690211",2/11/1969 8:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690211",3541.00,
"LP690211",2/11/1969 10:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690211",3540.97,
"LP690318",3/18/1969 10:25:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690318",3541.95,
"LP690318",3/18/1969 14:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690318",3543.73,
"LP690415",4/15/1969 10:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690415",3544.97,
"LP690415",4/15/1969 14:15:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690415",3546.53,
"LP690514",5/13/1969 7:50:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690514",3559.10,
"LP690514",5/14/1969 7:40:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP690514",3558.95,
"LP690514",5/14/1969 14:50:00,"LPCR2387","SCUCLP18","HITE BASIN","LP690514",3558.95,
"LP690514",5/15/1969 9:00:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP690514",3559.96,
"LP690514",5/15/1969 11:50:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP690514",3559.96,
"LP690514",5/15/1969 14:45:00,"LPCR0905","SCUCLP14","OAK CANYON","LP690514",3559.96,
"LP690514",5/16/1969 8:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP690514",3559.96,
"LP690514",5/16/1969 11:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690514",3559.96,
"LP690723",7/23/1969 15:35:00,"LPCR2387","SCUCLP18","HITE BASIN","LP690723",3579.94,
"LP690723",7/24/1969 10:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP690723",3579.94,
"LP690723",7/24/1969 12:15:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP690723",3579.94,
"LP690723",7/25/1969 8:10:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP690723",3579.94,
"LP690723",7/25/1969 9:05:00,"LPCR0905","SCUCLP14","OAK CANYON","LP690723",3579.94,
"LP690723",7/25/1969 10:45:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP690723",3579.94,
"LP690723",7/25/1969 13:25:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690723",3579.94,
"LP690723",7/28/1969 8:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690723",3580.88,
"LP690827",8/27/1969 9:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690827",3575.94,
"LP690827",8/27/1969 14:25:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690827",3576.37,
"LP690922",9/22/1969 9:40:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP690922",,
"LP690922",9/22/1969 14:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP690922",3573.73,
"LP691105",11/5/1969 10:10:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP691105",3574.94,
"LP691105",11/5/1969 10:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP691105",3573.97,
"LP691105",11/5/1969 13:30:00,"LPCR0905","SCUCLP14","OAK CANYON","LP691105",3573.97,
"LP691105",11/5/1969 16:00:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP691105",3573.97,
"LP691105",11/6/1969 11:30:00,"LPCR2387","SCUCLP18","HITE BASIN","LP691105",3573.97,
"LP691105",11/6/1969 15:00:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP691105",3573.97,
"LP691105",11/7/1969 9:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP691105",3573.97,
"LP691105",11/7/1969 12:45:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP691105",3573.97,
"LP691216",12/16/1969 10:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP691216",3570.95,
"LP691216",12/16/1969 15:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP691216",3572.55,
"LP700107",1/7/1970 9:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP700107",3569.97,
"LP700107",1/7/1970 12:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP700107",3569.97,
"LP700107",1/7/1970 13:20:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP700107",3569.97,
"LP700107",1/7/1970 14:50:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP700107",3569.97,
"LP700107",1/7/1970 16:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP700107",3569.97,
"LP700107",1/8/1970 10:30:00,"LPCR2387","SCUCLP18","HITE BASIN","LP700107",3569.97,
"LP700107",1/9/1970 10:40:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP700107",3569.97,
"LP700107",1/9/1970 14:15:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP700107",3570.39,
"LP700204",2/4/1970 10:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP700204",3567.97,
"LP700204",2/4/1970 14:30:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP700204",3569.35,
"LP700313",3/12/1970 14:00:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP700313",3571.36,
"LP700313",3/13/1970 10:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP700313",3569.97,
"LP700408",4/8/1970 10:15:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP700408",3568.95,
"LP700408",4/8/1970 14:45:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP700408",3569.96,
"LP700504",5/4/1970 12:45:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP700504",3565.97,
"LP700504",5/5/1970 8:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP700504",3565.97,
"LP700504",5/5/1970 11:15:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP700504",3565.97,
"LP700504",5/6/1970 8:30:00,"LPCR0905","SCUCLP14","OAK CANYON","LP700504",3565.97,
"LP700504",5/6/1970 13:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP700504",3565.97,
"LP700504",5/7/1970 8:45:00,"LPCR2387","SCUCLP18","HITE BASIN","LP700504",3565.97,
"LP700504",5/7/1970 13:10:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP700504",3565.97,
"LP700504",5/8/1970 12:45:00,"LPCR0024","SCUCLP11","Colorado River below Glen Canyon Dam","LP700504",3567.00,
"LP700708",7/8/1970 7:15:00,"LPCR2387","SCUCLP18","HITE BASIN","LP700708",,
